Magma V2.29-4     Tue May 19 2026 14:19:04 on mordell  [Seed = 2015257444]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_43/X1_43.m"
The number of places of X1(43)(F2) of degrees 1..11 is:
[ 21, 0, 0, 0, 0, 0, 6, 42, 105, 84, 126 ]
Loaded case 4 cover of size: 694
Searching RR spaces for 971 divisors... (this might take a moment)
Starting parallel computation with 971 tasks across 32 workers...
328/971 (33.78%) | elapsed=5246s | ETA=10285s | core-time/task=511s
332/971 (34.19%) | elapsed=5332s | ETA=10262s | core-time/task=513s
336/971 (34.60%) | elapsed=5398s | ETA=10203s | core-time/task=514s
340/971 (35.02%) | elapsed=5458s | ETA=10130s | core-time/task=513s
344/971 (35.43%) | elapsed=5531s | ETA=10081s | core-time/task=514s
348/971 (35.84%) | elapsed=5653s | ETA=10120s | core-time/task=519s
352/971 (36.25%) | elapsed=5688s | ETA=10002s | core-time/task=517s
356/971 (36.66%) | elapsed=5725s | ETA=9890s | core-time/task=514s
360/971 (37.07%) | elapsed=5782s | ETA=9814s | core-time/task=514s
364/971 (37.49%) | elapsed=5889s | ETA=9821s | core-time/task=517s
368/971 (37.90%) | elapsed=5918s | ETA=9698s | core-time/task=514s
372/971 (38.31%) | elapsed=5965s | ETA=9604s | core-time/task=513s
376/971 (38.72%) | elapsed=6020s | ETA=9527s | core-time/task=512s
380/971 (39.14%) | elapsed=6141s | ETA=9551s | core-time/task=517s
384/971 (39.55%) | elapsed=6229s | ETA=9523s | core-time/task=519s
388/971 (39.96%) | elapsed=6357s | ETA=9552s | core-time/task=524s
392/971 (40.37%) | elapsed=6399s | ETA=9452s | core-time/task=522s
396/971 (40.78%) | elapsed=6487s | ETA=9419s | core-time/task=524s
400/971 (41.20%) | elapsed=6508s | ETA=9290s | core-time/task=520s
404/971 (41.61%) | elapsed=6548s | ETA=9190s | core-time/task=518s
408/971 (42.02%) | elapsed=6590s | ETA=9093s | core-time/task=516s
412/971 (42.43%) | elapsed=6755s | ETA=9165s | core-time/task=524s
416/971 (42.84%) | elapsed=6810s | ETA=9086s | core-time/task=523s
420/971 (43.25%) | elapsed=6889s | ETA=9038s | core-time/task=524s
424/971 (43.67%) | elapsed=6925s | ETA=8934s | core-time/task=522s
428/971 (44.08%) | elapsed=6953s | ETA=8821s | core-time/task=519s
432/971 (44.49%) | elapsed=7007s | ETA=8743s | core-time/task=519s
436/971 (44.90%) | elapsed=7028s | ETA=8624s | core-time/task=515s
440/971 (45.31%) | elapsed=7187s | ETA=8674s | core-time/task=522s
444/971 (45.73%) | elapsed=7278s | ETA=8639s | core-time/task=524s
448/971 (46.14%) | elapsed=7371s | ETA=8606s | core-time/task=526s
452/971 (46.55%) | elapsed=7422s | ETA=8523s | core-time/task=525s
456/971 (46.96%) | elapsed=7486s | ETA=8454s | core-time/task=525s
460/971 (47.38%) | elapsed=7532s | ETA=8368s | core-time/task=524s
464/971 (47.79%) | elapsed=7578s | ETA=8281s | core-time/task=522s
468/971 (48.20%) | elapsed=7593s | ETA=8161s | core-time/task=519s
472/971 (48.61%) | elapsed=7666s | ETA=8104s | core-time/task=519s
476/971 (49.02%) | elapsed=7795s | ETA=8106s | core-time/task=524s
480/971 (49.43%) | elapsed=7857s | ETA=8037s | core-time/task=523s
484/971 (49.84%) | elapsed=7897s | ETA=7946s | core-time/task=522s
488/971 (50.26%) | elapsed=8058s | ETA=7976s | core-time/task=528s
492/971 (50.67%) | elapsed=8080s | ETA=7866s | core-time/task=525s
496/971 (51.08%) | elapsed=8143s | ETA=7798s | core-time/task=525s
500/971 (51.49%) | elapsed=8206s | ETA=7730s | core-time/task=525s
504/971 (51.91%) | elapsed=8264s | ETA=7657s | core-time/task=524s
508/971 (52.32%) | elapsed=8309s | ETA=7573s | core-time/task=523s
512/971 (52.73%) | elapsed=8358s | ETA=7493s | core-time/task=522s
516/971 (53.14%) | elapsed=8373s | ETA=7383s | core-time/task=519s
520/971 (53.55%) | elapsed=8454s | ETA=7332s | core-time/task=520s
524/971 (53.96%) | elapsed=8631s | ETA=7363s | core-time/task=527s
528/971 (54.38%) | elapsed=8692s | ETA=7293s | core-time/task=526s
532/971 (54.79%) | elapsed=8791s | ETA=7254s | core-time/task=528s
536/971 (55.20%) | elapsed=8833s | ETA=7168s | core-time/task=527s
540/971 (55.61%) | elapsed=8853s | ETA=7066s | core-time/task=524s
544/971 (56.02%) | elapsed=8874s | ETA=6966s | core-time/task=522s
548/971 (56.44%) | elapsed=8908s | ETA=6876s | core-time/task=520s
552/971 (56.85%) | elapsed=8968s | ETA=6807s | core-time/task=519s
