Magma V2.29-4     Thu May 21 2026 17:42:42 on mordell  [Seed = 2015170733]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_32/X1_32.m"
Loaded 22606 covering divisors.
Searching RR spaces for 22606 divisors...
6441/22606 (28.49%) | elapsed=4882s | ETA=12253s | deg8 pole divisors=50 | <=7=false | deg9=false
6554/22606 (28.99%) | elapsed=4974s | ETA=12183s | deg8 pole divisors=50 | <=7=false | deg9=false
6667/22606 (29.49%) | elapsed=5056s | ETA=12088s | deg8 pole divisors=50 | <=7=false | deg9=false
6780/22606 (29.99%) | elapsed=5142s | ETA=12003s | deg8 pole divisors=50 | <=7=false | deg9=false
6893/22606 (30.49%) | elapsed=5221s | ETA=11903s | deg8 pole divisors=50 | <=7=false | deg9=false
7006/22606 (30.99%) | elapsed=5295s | ETA=11791s | deg8 pole divisors=50 | <=7=false | deg9=false
7119/22606 (31.49%) | elapsed=5372s | ETA=11687s | deg8 pole divisors=50 | <=7=false | deg9=false
7232/22606 (31.99%) | elapsed=5457s | ETA=11601s | deg8 pole divisors=50 | <=7=false | deg9=false
7345/22606 (32.49%) | elapsed=5545s | ETA=11522s | deg8 pole divisors=51 | <=7=false | deg9=false
7458/22606 (32.99%) | elapsed=5631s | ETA=11438s | deg8 pole divisors=51 | <=7=false | deg9=false
7571/22606 (33.49%) | elapsed=5719s | ETA=11358s | deg8 pole divisors=51 | <=7=false | deg9=false
7684/22606 (33.99%) | elapsed=5801s | ETA=11266s | deg8 pole divisors=51 | <=7=false | deg9=false
7797/22606 (34.49%) | elapsed=5883s | ETA=11174s | deg8 pole divisors=51 | <=7=false | deg9=false
7910/22606 (34.99%) | elapsed=5963s | ETA=11080s | deg8 pole divisors=51 | <=7=false | deg9=false
8023/22606 (35.49%) | elapsed=6039s | ETA=10978s | deg8 pole divisors=51 | <=7=false | deg9=false
8136/22606 (35.99%) | elapsed=6129s | ETA=10901s | deg8 pole divisors=51 | <=7=false | deg9=false
8249/22606 (36.49%) | elapsed=6208s | ETA=10805s | deg8 pole divisors=51 | <=7=false | deg9=false
8362/22606 (36.99%) | elapsed=6288s | ETA=10711s | deg8 pole divisors=51 | <=7=false | deg9=false
8475/22606 (37.49%) | elapsed=6373s | ETA=10626s | deg8 pole divisors=51 | <=7=false | deg9=false
8588/22606 (37.99%) | elapsed=6451s | ETA=10530s | deg8 pole divisors=51 | <=7=false | deg9=false
8701/22606 (38.49%) | elapsed=6528s | ETA=10432s | deg8 pole divisors=52 | <=7=false | deg9=false
8814/22606 (38.99%) | elapsed=6601s | ETA=10330s | deg8 pole divisors=52 | <=7=false | deg9=false
8927/22606 (39.49%) | elapsed=6682s | ETA=10240s | deg8 pole divisors=52 | <=7=false | deg9=false
9040/22606 (39.99%) | elapsed=6764s | ETA=10151s | deg8 pole divisors=52 | <=7=false | deg9=false
9153/22606 (40.49%) | elapsed=6848s | ETA=10066s | deg8 pole divisors=53 | <=7=false | deg9=false
9266/22606 (40.99%) | elapsed=6934s | ETA=9982s | deg8 pole divisors=53 | <=7=false | deg9=false
9379/22606 (41.49%) | elapsed=7008s | ETA=9883s | deg8 pole divisors=53 | <=7=false | deg9=false
9492/22606 (41.99%) | elapsed=7097s | ETA=9806s | deg8 pole divisors=53 | <=7=false | deg9=false
9605/22606 (42.49%) | elapsed=7184s | ETA=9724s | deg8 pole divisors=53 | <=7=false | deg9=false
9718/22606 (42.99%) | elapsed=7266s | ETA=9637s | deg8 pole divisors=53 | <=7=false | deg9=false
9831/22606 (43.49%) | elapsed=7353s | ETA=9556s | deg8 pole divisors=53 | <=7=false | deg9=false
9944/22606 (43.99%) | elapsed=7426s | ETA=9456s | deg8 pole divisors=53 | <=7=false | deg9=false
10057/22606 (44.49%) | elapsed=7503s | ETA=9363s | deg8 pole divisors=53 | <=7=false | deg9=false
10170/22606 (44.99%) | elapsed=7581s | ETA=9271s | deg8 pole divisors=53 | <=7=false | deg9=false
10283/22606 (45.49%) | elapsed=7669s | ETA=9190s | deg8 pole divisors=53 | <=7=false | deg9=false
10396/22606 (45.99%) | elapsed=7748s | ETA=9099s | deg8 pole divisors=53 | <=7=false | deg9=false
10509/22606 (46.49%) | elapsed=7833s | ETA=9017s | deg8 pole divisors=53 | <=7=false | deg9=false
10622/22606 (46.99%) | elapsed=7913s | ETA=8928s | deg8 pole divisors=53 | <=7=false | deg9=false
10735/22606 (47.49%) | elapsed=7995s | ETA=8841s | deg8 pole divisors=53 | <=7=false | deg9=false
10848/22606 (47.99%) | elapsed=8082s | ETA=8760s | deg8 pole divisors=53 | <=7=false | deg9=false
10961/22606 (48.49%) | elapsed=8175s | ETA=8685s | deg8 pole divisors=53 | <=7=false | deg9=false
11074/22606 (48.99%) | elapsed=8249s | ETA=8590s | deg8 pole divisors=53 | <=7=false | deg9=false
11187/22606 (49.49%) | elapsed=8349s | ETA=8522s | deg8 pole divisors=54 | <=7=false | deg9=false
11300/22606 (49.99%) | elapsed=8434s | ETA=8438s | deg8 pole divisors=54 | <=7=false | deg9=false
11413/22606 (50.49%) | elapsed=8510s | ETA=8346s | deg8 pole divisors=55 | <=7=false | deg9=false
11526/22606 (50.99%) | elapsed=8596s | ETA=8264s | deg8 pole divisors=55 | <=7=false | deg9=false
11639/22606 (51.49%) | elapsed=8682s | ETA=8180s | deg8 pole divisors=55 | <=7=false | deg9=false
11752/22606 (51.98%) | elapsed=8755s | ETA=8086s | deg8 pole divisors=55 | <=7=false | deg9=false
11865/22606 (52.48%) | elapsed=8848s | ETA=8010s | deg8 pole divisors=55 | <=7=false | deg9=false
11978/22606 (52.98%) | elapsed=8927s | ETA=7921s | deg8 pole divisors=55 | <=7=false | deg9=false
12091/22606 (53.48%) | elapsed=9002s | ETA=7829s | deg8 pole divisors=55 | <=7=false | deg9=false
12204/22606 (53.98%) | elapsed=9076s | ETA=7736s | deg8 pole divisors=55 | <=7=false | deg9=false
12317/22606 (54.48%) | elapsed=9148s | ETA=7642s | deg8 pole divisors=55 | <=7=false | deg9=false
12430/22606 (54.98%) | elapsed=9230s | ETA=7556s | deg8 pole divisors=55 | <=7=false | deg9=false
12543/22606 (55.48%) | elapsed=9314s | ETA=7472s | deg8 pole divisors=56 | <=7=false | deg9=false
12656/22606 (55.98%) | elapsed=9399s | ETA=7389s | deg8 pole divisors=56 | <=7=false | deg9=false
12769/22606 (56.48%) | elapsed=9478s | ETA=7301s | deg8 pole divisors=56 | <=7=false | deg9=false
12882/22606 (56.98%) | elapsed=9554s | ETA=7212s | deg8 pole divisors=56 | <=7=false | deg9=false
12995/22606 (57.48%) | elapsed=9637s | ETA=7128s | deg8 pole divisors=56 | <=7=false | deg9=false
13108/22606 (57.98%) | elapsed=9719s | ETA=7042s | deg8 pole divisors=56 | <=7=false | deg9=false
13221/22606 (58.48%) | elapsed=9803s | ETA=6959s | deg8 pole divisors=56 | <=7=false | deg9=false
13334/22606 (58.98%) | elapsed=9888s | ETA=6876s | deg8 pole divisors=56 | <=7=false | deg9=false
13447/22606 (59.48%) | elapsed=9966s | ETA=6788s | deg8 pole divisors=56 | <=7=false | deg9=false
13560/22606 (59.98%) | elapsed=10041s | ETA=6698s | deg8 pole divisors=56 | <=7=false | deg9=false
13673/22606 (60.48%) | elapsed=10116s | ETA=6609s | deg8 pole divisors=56 | <=7=false | deg9=false
13786/22606 (60.98%) | elapsed=10200s | ETA=6525s | deg8 pole divisors=56 | <=7=false | deg9=false
13899/22606 (61.48%) | elapsed=10270s | ETA=6434s | deg8 pole divisors=56 | <=7=false | deg9=false
14012/22606 (61.98%) | elapsed=10350s | ETA=6348s | deg8 pole divisors=56 | <=7=false | deg9=false
