Magma V2.29-4     Fri May 22 2026 02:01:33 on mordell  [Seed = 1563987523]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_N_positive_rank/X1_57.m"
The number of places of X1(57)(F2) of degrees 1..12 is:
[ 18, 9, 0, 0, 0, 2, 36, 18, 4, 216, 126, 381 ]
Searching RR spaces for 308 divisors... (this might take a moment)
Starting parallel computation with 308 tasks across 32 workers...
79/308 (25.65%) | elapsed=31259s | ETA=90613s | core-time/task=12662s
80/308 (25.97%) | elapsed=32066s | ETA=91390s | core-time/task=12826s
81/308 (26.30%) | elapsed=32576s | ETA=91294s | core-time/task=12869s
82/308 (26.62%) | elapsed=32645s | ETA=89973s | core-time/task=12739s
83/308 (26.95%) | elapsed=32824s | ETA=88983s | core-time/task=12655s
84/308 (27.27%) | elapsed=33121s | ETA=88323s | core-time/task=12617s
85/308 (27.60%) | elapsed=33494s | ETA=87874s | core-time/task=12609s
86/308 (27.92%) | elapsed=33881s | ETA=87462s | core-time/task=12607s
87/308 (28.25%) | elapsed=33903s | ETA=86123s | core-time/task=12470s
88/308 (28.57%) | elapsed=34344s | ETA=85860s | core-time/task=12488s
89/308 (28.90%) | elapsed=36596s | ETA=90052s | core-time/task=13158s
90/308 (29.22%) | elapsed=38105s | ETA=92299s | core-time/task=13548s
91/308 (29.54%) | elapsed=41750s | ETA=99559s | core-time/task=14681s
92/308 (29.87%) | elapsed=45107s | ETA=105903s | core-time/task=15689s
93/308 (30.20%) | elapsed=45602s | ETA=105424s | core-time/task=15691s
94/308 (30.52%) | elapsed=46202s | ETA=105184s | core-time/task=15728s
95/308 (30.84%) | elapsed=47794s | ETA=107161s | core-time/task=16099s
96/308 (31.17%) | elapsed=50511s | ETA=111545s | core-time/task=16837s
97/308 (31.49%) | elapsed=51027s | ETA=110998s | core-time/task=16833s
98/308 (31.82%) | elapsed=51312s | ETA=109954s | core-time/task=16754s
99/308 (32.14%) | elapsed=51808s | ETA=109373s | core-time/task=16746s
